"gender","Dependents","tenure","PhoneService","InternetService","StreamingTV","Contract","PaymentMethod","MonthlyCharges","Churn"
"Male","No",8,"Yes","DSL","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Female","Yes",8,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",70.3,"No"
"Female","No",21,"Yes","Fiber optic","Yes","One year","Mailed check",104.55,"No"
"Male","No",1,"No","DSL","No","Month-to-month","Mailed check",35.9,"No"
"Female","No",12,"Yes","Fiber optic","No","Month-to-month","Electronic check",81.1,"Yes"
"Male","No",69,"Yes","No","No internet service","Two year","Bank transfer (automatic)",19.3,"No"
"Female","Yes",9,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",69.4,"No"
"Male","No",28,"Yes","No","No internet service","One year","Electronic check",18.25,"No"
"Male","Yes",60,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",76.95,"No"
"Female","No",5,"Yes","Fiber optic","No","Month-to-month","Electronic check",80,"Yes"
"Female","No",72,"Yes","Fiber optic","Yes","Two year","Mailed check",109.75,"No"
"Male","No",71,"Yes","Fiber optic","Yes","Two year","Electronic check",99.2,"No"
"Female","No",9,"No","DSL","Yes","Month-to-month","Mailed check",58.5,"Yes"
"Female","No",5,"Yes","No","No internet service","Month-to-month","Mailed check",20.15,"No"
"Female","Yes",27,"Yes","No","No internet service","Two year","Electronic check",24.5,"No"
"Female","Yes",18,"Yes","Fiber optic","No","Month-to-month","Electronic check",69.8,"No"
"Female","No",1,"Yes","No","No internet service","Month-to-month","Mailed check",20.45,"No"
"Female","No",64,"Yes","No","No internet service","Two year","Mailed check",19.4,"No"
"Female","No",60,"Yes","Fiber optic","Yes","Two year","Electronic check",104.7,"No"
"Male","Yes",63,"Yes","No","No internet service","Two year","Credit card (automatic)",24.65,"No"
"Female","Yes",28,"Yes","No","No internet service","Month-to-month","Electronic check",70.3,"No"
"Male","No",72,"No","DSL","Yes","Two year","Bank transfer (automatic)",63.7,"No"
"Female","No",24,"Yes","No","No internet service","Month-to-month","Mailed check",20.3,"No"
"Male","No",19,"Yes","DSL","No","Month-to-month","Credit card (automatic)",70.3,"Yes"
"Female","Yes",64,"Yes","No","No internet service","Two year","Mailed check",23.85,"No"
"Male","Yes",12,"Yes","No","No internet service","Month-to-month","Mailed check",19.45,"No"
"Female","No",46,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",74.8,"No"
"Male","No",10,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",95.1,"No"
"Male","No",3,"Yes","Fiber optic","No","Month-to-month","Mailed check",86.05,"No"
"Male","No",65,"Yes","No","No internet service","Two year","Credit card (automatic)",70.3,"No"
"Male","No",4,"No","DSL","No","Month-to-month","Electronic check",42.4,"No"
"Male","No",54,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",70.3,"No"
"Male","No",45,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"No"
"Female","Yes",4,"Yes","DSL","No","Month-to-month","Electronic check",55.2,"No"
"Female","No",61,"Yes","Fiber optic","Yes","One year","Mailed check",115.1,"No"
"Male","No",29,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"No"
"Female","Yes",12,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",95.15,"Yes"
"Female","No",2,"Yes","DSL","Yes","Month-to-month","Bank transfer (automatic)",70.3,"Yes"
"Male","No",59,"Yes","No","No internet service","Two year","Bank transfer (automatic)",20.2,"No"
"Male","No",25,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",95.7,"No"
"Female","No",24,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",75.4,"Yes"
"Female","No",15,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",99.1,"Yes"
"Female","No",1,"Yes","DSL","No","Month-to-month","Electronic check",45.65,"Yes"
"Male","Yes",37,"No","DSL","No","Two year","Mailed check",40.55,"No"
"Female","No",21,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",103.9,"Yes"
"Female","No",34,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",60.85,"No"
"Male","No",44,"Yes","DSL","Yes","One year","Bank transfer (automatic)",96.5,"No"
"Female","No",72,"Yes","No","No internet service","Two year","Bank transfer (automatic)",23.75,"No"
"Male","No",12,"Yes","No","No internet service","One year","Credit card (automatic)",24.95,"No"
"Male","No",1,"No","DSL","No","Month-to-month","Electronic check",35.55,"Yes"
"Female","Yes",71,"Yes","DSL","No","One year","Credit card (automatic)",95.15,"No"
"Male","No",9,"Yes","Fiber optic","No","Month-to-month","Electronic check",73.8,"No"
"Male","No",3,"Yes","Fiber optic","No","Month-to-month","Electronic check",76.95,"Yes"
"Male","No",31,"Yes","DSL","Yes","Month-to-month","Electronic check",59.05,"No"
"Male","Yes",53,"Yes","DSL","Yes","Month-to-month","Electronic check",85.7,"No"
"Female","No",12,"Yes","No","No internet service","Month-to-month","Electronic check",25.7,"No"
"Female","No",1,"Yes","DSL","No","Month-to-month","Mailed check",70.3,"No"
"Female","Yes",23,"No","DSL","No","Two year","Mailed check",34.6,"No"
"Male","Yes",62,"Yes","Fiber optic","Yes","One year","Electronic check",110.8,"No"
"Female","No",29,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",87.8,"No"
"Female","No",8,"Yes","DSL","No","One year","Bank transfer (automatic)",58.2,"No"
"Male","No",1,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",20.55,"No"
"Female","No",20,"Yes","DSL","No","Month-to-month","Credit card (automatic)",68.9,"No"
"Male","No",57,"Yes","DSL","No","Month-to-month","Electronic check",55.7,"No"
"Female","No",38,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",105,"Yes"
"Male","Yes",71,"Yes","DSL","Yes","Two year","Electronic check",90.35,"No"
"Male","Yes",32,"Yes","DSL","Yes","Month-to-month","Electronic check",96.2,"Yes"
"Female","No",72,"Yes","DSL","Yes","Two year","Credit card (automatic)",73,"No"
"Male","No",9,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"No"
"Male","No",11,"Yes","Fiber optic","No","Month-to-month","Electronic check",73.85,"Yes"
"Male","Yes",54,"Yes","DSL","No","Month-to-month","Electronic check",55,"Yes"
"Female","No",1,"Yes","DSL","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Male","Yes",1,"Yes","No","No internet service","Month-to-month","Mailed check",19.55,"No"
"Male","No",44,"Yes","DSL","Yes","One year","Mailed check",80.85,"No"
"Female","No",26,"Yes","DSL","No","One year","Mailed check",60.7,"No"
"Male","No",1,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",70.3,"Yes"
"Male","No",1,"Yes","No","No internet service","Month-to-month","Mailed check",71.55,"Yes"
"Female","No",46,"Yes","DSL","No","One year","Electronic check",55.65,"No"
"Female","No",43,"Yes","Fiber optic","Yes","One year","Electronic check",107.55,"Yes"
"Male","No",64,"Yes","DSL","No","Two year","Bank transfer (automatic)",67.8,"No"
"Female","Yes",21,"Yes","DSL","No","One year","Electronic check",64.85,"No"
"Female","No",22,"Yes","Fiber optic","No","Month-to-month","Mailed check",84.3,"Yes"
"Male","No",24,"Yes","DSL","No","Month-to-month","Mailed check",49.7,"No"
"Male","Yes",59,"Yes","DSL","Yes","One year","Credit card (automatic)",70.3,"No"
"Male","No",1,"Yes","DSL","No","Month-to-month","Electronic check",45.1,"Yes"
"Female","No",48,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",102.5,"No"
"Female","Yes",53,"Yes","DSL","Yes","One year","Electronic check",84.6,"No"
"Female","No",56,"Yes","DSL","Yes","Two year","Credit card (automatic)",72.6,"No"
"Male","Yes",72,"Yes","Fiber optic","Yes","Two year","Bank transfer (automatic)",114.95,"No"
"Female","Yes",12,"Yes","No","No internet service","Month-to-month","Mailed check",20.25,"No"
"Male","Yes",64,"Yes","No","No internet service","Two year","Electronic check",24.45,"No"
"Male","No",23,"Yes","No","No internet service","One year","Electronic check",20.75,"No"
"Female","No",12,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",95.1,"Yes"
"Male","No",37,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",96.1,"No"
"Male","Yes",1,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",20.15,"No"
