"gender","Dependents","tenure","PhoneService","MultipleLines","InternetService","StreamingTV","StreamingMovies","Contract","PaymentMethod","MonthlyCharges","TotalCharges","DailyCharges","Churn"
"Male","No",8,"Yes","No",NA,"Yes","Yes",NA,NA,70.3,832.35,14.05,"Yes"
"Female","Yes",8,"Yes",NA,"Fiber optic","No","No","Month-to-month","Credit card (automatic)",70.3,548.9,14.05,"No"
"Female","No",21,"Yes","No","Fiber optic","Yes","Yes","One year","Mailed check",104.55,2239.4,20.91,"No"
"Male","No",1,"No","No phone service","DSL","No","No","Month-to-month","Mailed check",35.9,35.9,7.18,"No"
"Female","No",12,NA,NA,"Fiber optic","No","Yes","Month-to-month","Electronic check",81.1,81.1,16.22,"Yes"
"Male","No",69,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",19.3,1447.9,3.86,"No"
"Female","Yes",9,"Yes","No","DSL","Yes","Yes","Month-to-month","Credit card (automatic)",69.4,571.45,13.88,"No"
"Male","No",28,"Yes","No","No","No internet service","No internet service","One year",NA,18.25,1415.425,3.65,"No"
"Male","Yes",60,"Yes","No","DSL","Yes","Yes","Two year","Bank transfer (automatic)",76.95,4543.95,15.39,"No"
"Female","No",5,NA,"No","Fiber optic","No","Yes","Month-to-month","Electronic check",80,412.5,16,"Yes"
"Male","No",68,NA,NA,"DSL","No","Yes","One year","Credit card (automatic)",76.9,5023,15.38,NA
"Female","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Mailed check",109.75,8075.35,21.95,"No"
"Male","No",71,"Yes","No","Fiber optic","Yes","Yes","Two year",NA,99.2,1415.425,19.84,"No"
"Male","No",44,NA,NA,"DSL","Yes",NA,"One year",NA,77.4,4155.95,15.48,NA
"Female","No",9,"No","No phone service","DSL","Yes","Yes","Month-to-month","Mailed check",58.5,539.85,11.7,"Yes"
"Male","No",72,"Yes","Yes","DSL","No","Yes","Two year","Bank transfer (automatic)",82.3,5980.55,16.46,NA
"Female","No",5,"Yes","No","No","No internet service","No internet service",NA,"Mailed check",20.15,117.95,4.03,"No"
"Female","Yes",27,"Yes","Yes","No","No internet service","No internet service","Two year","Electronic check",24.5,761.95,4.9,"No"
"Female","Yes",18,NA,"No","Fiber optic","No",NA,"Month-to-month","Electronic check",69.8,1415.425,13.96,"No"
"Female","No",1,"Yes","No","No","No internet service","No internet service",NA,"Mailed check",20.45,20.45,4.09,"No"
"Female","No",64,NA,"No","No","No internet service","No internet service","Two year","Mailed check",19.4,1415.425,3.88,"No"
"Female","No",60,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Electronic check",104.7,6333.8,20.94,"No"
"Male","Yes",63,"Yes",NA,"No","No internet service","No internet service","Two year","Credit card (automatic)",24.65,1574.5,4.93,"No"
"Female","Yes",28,"Yes","No","No","No internet service","No internet service","Month-to-month",NA,70.3,543.8,14.05,"No"
"Male","No",72,"No","No phone service","DSL","Yes","Yes","Two year","Bank transfer (automatic)",63.7,4464.8,12.74,"No"
"Female","No",24,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.3,459.95,4.06,"No"
"Male","No",19,"Yes","No","DSL","No","No","Month-to-month","Credit card (automatic)",70.3,1046.5,14.05,"Yes"
"Female","Yes",64,"Yes","Yes","No","No internet service","No internet service","Two year","Mailed check",23.85,625.65,4.77,"No"
"Male","Yes",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",19.45,1415.425,3.89,"No"
"Female","No",46,"Yes","No","Fiber optic","No",NA,"Month-to-month","Credit card (automatic)",74.8,3548.3,14.96,"No"
"Male","No",10,"Yes","No","Fiber optic",NA,"Yes","Month-to-month","Credit card (automatic)",95.1,865.1,19.02,"No"
"Male","No",3,"Yes","No","Fiber optic","No","Yes","Month-to-month","Mailed check",86.05,244.85,17.21,"No"
"Male","No",65,"Yes","No","No","No internet service","No internet service","Two year","Credit card (automatic)",70.3,1218.65,14.05,"No"
"Male","No",4,"No","No phone service","DSL","No","No",NA,NA,42.4,146.4,8.48,"No"
"Male","No",54,"Yes","Yes",NA,"No","No","Month-to-month","Bank transfer (automatic)",70.3,1415.425,14.05,"No"
"Male","No",45,"Yes","Yes","Fiber optic","Yes",NA,"Month-to-month",NA,70.3,4747.85,14.05,"No"
"Female","Yes",4,"Yes","No","DSL","No","No","Month-to-month","Electronic check",55.2,220.65,11.04,"No"
"Female","No",61,"Yes","Yes","Fiber optic","Yes","Yes","One year","Mailed check",115.1,1415.425,23.02,"No"
"Male","No",29,"Yes","No","Fiber optic","Yes","No",NA,NA,70.3,1219.85,14.05,"No"
"Female","Yes",12,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Mailed check",95.15,1779.95,19.03,"Yes"
"Female","No",2,"Yes","No",NA,"Yes","No","Month-to-month","Bank transfer (automatic)",70.3,183.75,14.05,"Yes"
"Male","No",59,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",20.2,1192.3,4.04,"No"
"Male","No",25,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Credit card (automatic)",95.7,2338.35,19.14,"No"
"Female","No",24,"Yes","Yes","Fiber optic","No",NA,"Month-to-month","Credit card (automatic)",75.4,1747.85,15.08,"Yes"
"Female","No",15,"Yes","No","Fiber optic","Yes","Yes",NA,"Credit card (automatic)",99.1,1415.425,19.82,"Yes"
"Female","No",1,"Yes","No","DSL","No","No","Month-to-month","Electronic check",45.65,45.65,9.13,"Yes"
"Male","Yes",37,"No","No phone service","DSL","No","No","Two year","Mailed check",40.55,1390.85,8.11,"No"
"Male","No",1,"Yes","No",NA,"No","No","Month-to-month","Mailed check",45.85,45.85,9.17,NA
"Female","No",21,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",103.9,2254.2,20.78,"Yes"
"Female","No",34,"Yes","Yes","DSL","No","No","Month-to-month","Bank transfer (automatic)",60.85,2003.6,12.17,"No"
"Male","No",44,"Yes","Yes",NA,"Yes",NA,"One year","Bank transfer (automatic)",96.5,5673.7,19.3,"No"
"Female","No",72,"Yes","Yes","No","No internet service","No internet service","Two year","Bank transfer (automatic)",23.75,1679.25,4.75,"No"
"Male","No",12,"Yes","Yes","No","No internet service","No internet service","One year","Credit card (automatic)",24.95,280.4,4.99,"No"
"Male","No",1,"No","No phone service","DSL","No","Yes","Month-to-month","Electronic check",35.55,35.55,7.11,"Yes"
"Female","Yes",71,"Yes","Yes",NA,"No","No","One year","Credit card (automatic)",95.15,6770.85,19.03,"No"
