"Education","Marital_Status","Income","Kidhome","Recency","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Complain","Response","Age","NumberofDayEnrolled","TotalSpent","Accepted"
3,5,0.351086408534422,1,59,4,9,11,5,8,1,2,40,627,908,1
3,5,0.277679921825888,3,39,3,2,2,3,6,1,1,43,108,22,1
3,6,0.434955529137906,1,27,2,9,3,11,5,1,1,32,294,504,1
3,6,0.155078516434613,2,27,3,3,1,5,7,1,1,13,132,48,1
5,4,0.352051136823368,2,95,6,6,4,7,6,1,1,16,153,321,1
4,6,0.378316642496592,2,17,3,7,5,11,7,1,1,30,277,472,1
3,3,0.335507602681322,2,35,5,8,4,8,7,1,1,26,561,411,1
5,4,0.197451872506489,2,33,3,5,1,5,9,1,1,12,395,151,1
5,6,0.178138634567148,2,20,2,4,1,3,10,1,2,23,367,41,1
5,6,0.0243858415231504,3,69,2,2,1,1,16,1,1,47,103,44,2
3,4,0.309033591216616,2,12,2,2,1,3,8,1,1,14,214,14,1
2,4,0.0359127885626793,1,60,2,3,1,4,9,1,1,21,561,56,1
3,3,0.381553150304667,1,83,2,4,5,9,3,1,1,38,214,682,1
4,3,0.358654857562536,3,54,4,7,2,6,7,1,1,45,214,251,1
3,4,0.0970516658679131,1,39,2,2,1,4,9,1,1,10,595,41,1
5,5,0.50458401538586,1,24,2,8,7,13,4,1,2,51,551,790,3
3,4,0.249709025499947,3,52,4,4,1,4,9,1,1,17,522,91,1
3,6,0.224252646778741,1,21,3,5,2,7,8,1,1,51,631,257,1
4,4,0.468453384951483,2,92,3,12,5,10,6,1,1,48,434,963,2
1,5,0.199680083651279,2,87,3,3,2,4,7,1,1,12,571,122,1
3,4,0.219771328275253,1,42,2,5,3,6,9,1,1,15,654,256,1
3,4,0.00446264634305738,2,43,15,1,14,1,2,1,1,18,509,948,1
5,4,0.354005489615167,2,64,4,3,4,10,9,1,1,48,523,607,2
5,4,0.395812456820629,2,1,4,7,3,10,5,1,1,43,160,389,1
3,6,0.242482899413072,2,70,8,8,2,6,9,1,1,46,444,336,1
3,5,0.104931317569881,1,90,3,3,2,4,8,1,1,28,513,70,1
3,4,0.321341656967517,3,5,5,6,2,5,8,1,1,21,376,212,1
3,5,0.309033591216616,2,20,1,15,1,1,2,1,1,11,468,436,1
3,4,0.227987078864982,2,27,3,3,2,5,4,1,1,8,372,120,1
5,4,0.515899344607169,1,97,2,7,10,11,3,1,1,32,208,925,2
4,3,0.0575662706093971,1,35,3,4,1,4,6,1,1,8,38,25,1
4,6,0.229605332769019,1,57,2,3,6,4,4,1,1,34,392,258,1
3,6,0.241605307872805,2,32,3,3,2,5,6,1,1,27,595,109,2
5,3,0.279335520050788,3,9,7,5,2,7,7,1,2,45,576,246,1
4,4,0.416557227059695,1,5,2,4,6,10,8,1,1,51,468,740,1
4,5,0.296632164663559,3,56,2,3,1,4,8,1,1,46,286,60,1
5,4,0.408441061325599,2,38,6,6,7,13,3,1,1,27,170,575,1
1,4,0.13685448785376,2,77,4,4,2,3,8,1,1,21,282,76,1
3,7,0.253312752463169,2,100,3,2,2,4,6,1,1,24,131,62,1
5,3,0.293887357080172,1,54,3,8,11,6,7,1,2,54,486,567,2
3,4,0.487225130238319,2,4,3,9,7,6,5,1,1,17,404,825,1
4,4,0.117192702919703,2,89,3,3,1,4,9,1,1,12,449,48,1
3,6,0.126124219659295,2,5,2,1,1,4,6,1,1,40,522,17,1
5,5,0.309033591216616,1,81,2,2,4,5,3,1,1,38,223,166,1
4,4,0.0359127885626793,2,20,4,3,1,4,6,1,1,22,255,26,1
3,5,0.486789446494924,1,73,2,3,5,10,2,1,1,21,2,614,1
1,4,0.0359127885626793,1,25,4,4,2,4,10,1,2,1,565,111,1
3,6,0.248949690975745,2,93,2,3,1,3,11,1,1,29,379,50,1
3,5,0.309033591216616,4,97,4,3,2,5,7,1,1,46,169,113,1
5,4,0.440787467245919,3,40,10,6,3,13,9,1,1,43,566,792,1
3,7,0.396820753483914,2,30,2,5,3,11,3,1,1,40,45,373,1
4,4,0.481822651820224,1,3,2,7,10,14,4,1,1,33,651,938,1
3,5,0.211991261428918,2,55,3,3,1,4,8,1,1,20,513,67,1
3,3,0.503227171727859,1,55,2,5,10,8,2,1,2,20,23,908,3
3,4,0.402341488918073,3,58,8,5,3,11,4,1,1,19,362,421,1
4,6,0.5019948091394,1,56,2,4,11,14,2,1,2,42,556,1006,2
3,3,0.426702434227315,1,31,2,6,6,11,4,1,2,31,429,677,1
3,5,0.163119993526984,2,32,2,2,1,5,4,1,1,9,59,24,1
3,5,0.309033591216616,2,58,3,3,1,4,7,1,1,15,358,41,1
5,4,0.337493075740507,2,64,4,9,3,7,8,1,1,29,113,375,1
4,5,0.460872487816415,1,13,2,4,7,12,2,1,2,15,341,838,3
3,6,0.404084223891652,3,19,5,5,3,13,4,1,1,22,624,425,1
3,5,0.374022045597416,2,27,5,9,3,11,8,1,1,45,470,557,1
5,7,0.4104763268126,2,9,2,8,4,9,6,1,1,46,363,421,1
3,6,0.429061350495123,1,30,2,8,5,5,5,1,1,49,195,665,1
3,4,0.149321266968326,2,76,2,2,2,3,8,1,2,26,382,29,1
3,6,0.191352300098962,3,1,2,2,1,3,8,1,1,30,46,6,1
1,5,0.538156559841162,2,20,2,12,11,11,6,1,2,18,99,773,3
3,6,0.419289586536128,2,5,2,6,3,11,5,1,1,39,259,441,1
3,6,0.455127686457082,4,91,8,3,6,6,6,1,1,27,424,884,1
4,4,0.4061879539669,1,2,4,5,9,7,4,1,1,43,620,765,1
1,4,0.309033591216616,2,26,4,4,1,4,9,1,1,24,618,102,1
3,4,0.393988809151848,2,30,5,11,4,14,8,1,1,38,445,548,1
5,4,0.366602973852751,3,89,6,10,3,9,8,1,1,22,427,446,2
3,4,0.165572270596949,1,59,2,3,2,5,3,1,1,45,57,60,1
3,3,0.239725643722731,2,69,2,2,1,3,7,1,1,20,527,8,1
4,4,0.457598635687478,1,35,2,8,7,6,6,1,2,25,635,987,1
3,5,0.461171242383315,1,41,1,6,9,10,5,1,2,21,593,1039,2
1,6,0.153086819321952,1,13,2,1,1,4,4,2,1,21,281,13,1
3,6,0.338065688660397,1,10,3,11,2,9,9,1,2,32,513,462,2
3,5,0.174460218962201,2,88,5,4,2,5,9,1,1,12,633,149,1
3,4,0.152949890145456,2,6,2,2,1,3,8,1,1,28,352,11,1
1,4,0.135864863350906,2,88,4,4,1,4,8,1,1,24,342,74,1
4,6,0.229605332769019,1,57,2,3,6,4,4,1,1,34,392,258,1
3,3,0.49562760243236,1,19,2,4,11,14,2,1,1,10,119,506,1
3,4,0.17246852184954,3,96,3,2,1,5,8,1,1,37,304,51,1
4,4,0.214157232038938,3,49,6,4,2,5,8,1,1,27,330,137,2
3,5,0.302849994087149,2,4,5,7,2,7,8,1,2,40,32,290,3
3,4,0.484623475884905,1,71,2,6,7,8,3,1,1,24,45,807,2
3,6,0.326439156765235,2,80,2,3,3,6,3,1,1,30,152,173,1
5,4,0.309033591216616,4,5,13,8,3,9,10,1,1,40,556,419,1
3,5,0.309033591216616,3,46,2,2,1,3,8,1,1,40,33,13,1
4,6,0.309033591216616,1,88,2,3,5,9,2,1,1,24,207,615,1
4,5,0.253094910591472,2,70,2,2,1,4,8,1,1,25,95,27,1
5,4,0.136281874933869,2,85,4,4,2,4,6,1,1,27,36,38,1
3,4,0.176551500930496,2,31,2,3,1,4,7,1,1,14,38,40,1
3,7,0.287464133891838,2,73,6,8,5,7,7,1,1,37,553,421,2
3,3,0.31171927029197,3,38,3,3,1,4,8,1,1,25,421,58,1
1,4,0.477801913274039,1,45,2,6,8,13,3,1,1,46,200,611,2
5,4,0.301368669359607,1,33,3,6,3,8,6,1,1,14,355,312,1
1,5,0.286885296918471,2,1,3,3,1,4,9,1,1,37,323,67,1
5,5,0.204298331331263,2,44,3,3,1,4,7,1,1,38,88,50,1
3,6,0.522590202095016,2,60,3,10,6,12,6,1,1,18,412,722,1
5,4,0.399061412735658,1,69,2,7,4,7,5,1,1,52,386,692,1
3,4,0.531938730417572,1,36,2,4,12,6,2,1,2,38,49,679,1
2,6,0.142306758699671,2,95,2,2,1,4,6,1,1,18,191,24,1
3,4,0.294808516994778,3,16,5,5,2,5,8,1,1,33,262,167,1
3,4,0.315453702378211,3,57,5,7,5,13,7,1,1,28,485,574,1
3,5,0.229213217399964,2,18,3,4,2,4,8,1,1,19,527,132,1
4,4,0.543534142045348,1,19,2,6,5,5,3,1,1,37,538,542,1
3,6,0.470339273155035,2,47,2,7,7,12,4,1,1,18,226,605,1
5,5,0.413252254663372,1,41,2,8,5,6,10,1,2,6,564,974,2
4,6,0.345795963078915,2,28,4,9,2,9,7,1,1,34,5,422,2
3,5,0.524731276491128,1,96,2,7,8,12,4,1,2,6,513,480,3
5,4,0.262928915085238,2,20,6,7,5,7,8,1,1,17,533,392,1
3,5,0.305320943317545,3,28,3,3,2,4,7,1,1,35,276,104,1
3,4,0.554158601330703,1,26,1,5,7,6,2,1,1,27,149,946,3
1,4,0.216721542071489,2,75,6,10,2,6,10,1,1,19,469,406,1
1,6,0.180640704064929,3,86,3,2,2,4,6,1,1,30,335,76,1
3,6,0.125651191595038,2,38,3,3,1,4,7,1,1,28,215,28,1
